sleep_metric,user_id,sleep_session_id,value
percentageSleepDeep,94155c17-864d-46ee-be22-775137bd1cee,1ca68c00-9dad-486e-b8c5-844e9ecdd2ca,10.87
percentageSleepRem,94155c17-864d-46ee-be22-775137bd1cee,1ca68c00-9dad-486e-b8c5-844e9ecdd2ca,16.94
percentageSleepLight,94155c17-864d-46ee-be22-775137bd1cee,1ca68c00-9dad-486e-b8c5-844e9ecdd2ca,70.45
percentageNightAwake,94155c17-864d-46ee-be22-775137bd1cee,1ca68c00-9dad-486e-b8c5-844e9ecdd2ca,5.61
percentageNightDeep,94155c17-864d-46ee-be22-775137bd1cee,1ca68c00-9dad-486e-b8c5-844e9ecdd2ca,10.44
percentageNightRem,94155c17-864d-46ee-be22-775137bd1cee,1ca68c00-9dad-486e-b8c5-844e9ecdd2ca,16.28
percentageNightLight,94155c17-864d-46ee-be22-775137bd1cee,1ca68c00-9dad-486e-b8c5-844e9ecdd2ca,67.67
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,5181e431-b854-4120-b414-7dec2c2413c3,480.33334
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,61a96cc2-3915-4c18-b258-a40c6a0ce7fa,480.01666
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,b09a9dad-a198-4358-b856-009f844ea745,660
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,0f408394-a808-4507-811c-c258f448af95,475.73334
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,15ebd886-391f-4dd7-85bd-8f657b9f5df6,457.2
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,8f1d628f-3868-4acb-b471-d1aadf5bd2f5,540.43335
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,b1a4dae6-43b9-4c71-afb7-0986e629dc74,549.9167
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,1e3685c8-0000-4706-a6f3-8c91080fbbca,485.66666
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,b7ce8747-e466-4110-b174-fed595666a72,508.85
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,d063d268-d39a-4220-b9d5-cdbf51042cad,523.18335
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,59d3d588-c172-4707-a79c-58e96be54b45,540.68335
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,492107a5-0248-42b1-aee7-80e5910c9cae,529.9667
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,0e7df4e6-a983-46c2-941b-d734c3a119a3,454.5
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,3c564a7c-5f59-4c7c-8341-be779f2994b6,529.4667
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,ae01e0cf-2e66-4995-9356-d74bcdc33778,477
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,92b1b0a8-f6ff-4f44-8d8c-3b5d71ed7314,540.0333
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,fa8add4c-4cb6-43da-9a94-477c037b57a1,454.43332
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,e9f52fc3-3702-4e6d-972f-da9720dea7a7,458.48334
sleepLatency,94155c17-864d-46ee-be22-775137bd1cee,f716f6ca-aee7-4d67-be7f-f9aeef8fb73c,12.116667
timeNightAsleep,94155c17-864d-46ee-be22-775137bd1cee,f716f6ca-aee7-4d67-be7f-f9aeef8fb73c,489
sleepEfficiency,94155c17-864d-46ee-be22-775137bd1cee,f716f6ca-aee7-4d67-be7f-f9aeef8fb73c,85.92263
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,2594b685-a25f-46e3-ae5e-2e3edf1aa260,598
sleepLatency,94155c17-864d-46ee-be22-775137bd1cee,2594b685-a25f-46e3-ae5e-2e3edf1aa260,4
timeNightAsleep,94155c17-864d-46ee-be22-775137bd1cee,2594b685-a25f-46e3-ae5e-2e3edf1aa260,471.5
sleepEfficiency,94155c17-864d-46ee-be22-775137bd1cee,2594b685-a25f-46e3-ae5e-2e3edf1aa260,78.84615
timeNightInBed,94155c17-864d-46ee-be22-775137bd1cee,99634499-86ae-493b-875c-a141f4d15546,480.01666
sleepLatency,94155c17-864d-46ee-be22-775137bd1cee,99634499-86ae-493b-875c-a141f4d15546,42.116665
timeNightAsleep,94155c17-864d-46ee-be22-775137bd1cee,99634499-86ae-493b-875c-a141f4d15546,371
timeNightRem,94155c17-864d-46ee-be22-775137bd1cee,08eab31e-8414-4e4d-a8f9-4abee945a0fa,102.4
